Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
66.3,409754650261,111900,3661793.1,1754.0,1311,24204258,6898551.4,cudaStreamSynchronize
24.8,153163218155,92323,1658993.1,6661.0,1096,53153474,5243081.4,cudaDeviceSynchronize
4.9,30006807556,7176997,4181.0,3926.0,3438,7531023,11582.8,cudaLaunchKernel
1.6,9635769669,223313,43149.2,8670.0,2162,26069580,115436.0,cudaMalloc
1.2,7219174709,222513,32443.8,5258.0,1839,33030044,108156.0,cudaFree
0.9,5332711033,92022,57950.4,12027.0,3486,4726768,208277.8,cudaMemcpy
0.2,1404493499,203066,6916.4,5726.0,2201,4024377,16147.4,cudaMemset
0.2,1107548840,7176997,154.3,142.0,125,4166600,3040.0,cuKernelGetName
0.0,160453669,7210,22254.3,22288.0,3652,2300726,28258.4,cudaMemcpyAsync
0.0,112414598,4,28103649.5,2154.5,1248,112409041,56203594.3,cudaStreamCreate
0.0,80788086,1,80788086.0,80788086.0,80788086,80788086,0.0,cudaDeviceReset
0.0,19779294,6300,3139.6,2797.0,2376,16799,816.0,cudaMemsetAsync
0.0,19172464,1,19172464.0,19172464.0,19172464,19172464,0.0,cuLibraryLoadData
0.0,38091,4,9522.8,4127.5,3197,26639,11437.8,cudaStreamDestroy
0.0,32308,23,1404.7,1008.0,417,4833,1191.0,cuLibraryGetKernel
0.0,8483,1,8483.0,8483.0,8483,8483,0.0,cuCtxSynchronize
0.0,4658,1,4658.0,4658.0,4658,4658,0.0,cuModuleGetLoadingMode
