Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.0,203724301967,38944,5231211.5,5005361.5,1309551,9484536,971531.1,"rhs_kernel(int, int, int, double, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, int, int, double, int, int)"
30.9,190543486463,38944,4892755.9,4534427.0,1104301,10105188,1273100.1,"rhs_kernel_int(int, int, int, double, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, int, int, double, int)"
8.4,52103962238,1192683,43686.3,49537.0,3776,69729,17824.4,"prolong3_kernel(int, int, int, int, int, int, double, double, double, double, double, double, int, int, int, const double *, double, double, double, double, double, double, int, int, int, double *, double, double, double, double, double, double, double, double, double, int, int)"
7.9,48830410878,34400,1419488.7,187746.0,162946,3186441,1393477.2,"global_interp_kernel(int, int, double *, double *, double *, int, int, int, double *, double *, double *, double *, double, double, double, double, double, double, double, double, double, int, double, double, double, int, int, int, double *, int *)"
5.1,31580862542,1192683,26478.8,24161.0,11840,74529,7001.3,"prolong3_kernel_int(int, int, int, int, int, int, double, double, double, double, double, double, int, int, int, const double *, double, double, double, double, double, double, int, int, int, double *, double, double, double, double, double, double, double, double, double, int, int)"
4.8,29942481747,902976,33159.8,31264.0,18336,264164,13467.2,"sommerfeld_rout_kernel(int, int, int, const double *, const double *, const double *, double, double, double, double, double, double, double, const double *, const double *, const double *, double *, double, double, double, int, int)"
4.0,24581698234,294975,83334.9,87809.0,35584,150242,19749.0,"restrict3_kernel(int, int, int, int, int, int, double, double, double, double, double, double, int, int, int, double *, double, double, double, double, double, double, int, int, int, const double *, double, double, double, double, double, double, double, double, double, int)"
3.2,19757012423,912576,21649.7,19936.0,4960,101441,5772.0,"rungekutta4_rout_kernel(int, const double *, double *, double *, double, int)"
0.8,5000084734,1926204,2595.8,2336.0,1408,29088,1469.7,"gpu_unpack_kernel(const double *, double *, int, int, int, int, int, int, int, int)"
0.7,4552073689,38024,119715.8,115473.5,26656,294340,33425.2,"enforce_ga_kernel(int, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *, double *)"
0.4,2257482580,93528,24137.0,23456.0,10848,41281,6748.8,"average2_kernel(int, const double *, const double *, const double *, double *)"
0.2,1425328214,6370,223756.4,222371.0,168514,419685,24018.1,"global_interp_amr_kernel(int, int, int *, double *, double *, double *, int, int, int, double *, double *, double *, double *, int, double, double, double, int, int, int, double *)"
0.2,1423233292,438546,3245.3,2400.0,1600,28736,2784.3,"gpu_pack_kernel(const double *, double *, int, int, int, int, int, int, int, int)"
0.2,1135239528,800,1419049.4,1402578.0,1394642,1844119,70159.4,"surf_Wave_kernel(int, int, int, int, int, int, int, const double *, const double *, const double *, double, double, double, double, double, double, double, double *, double *)"
0.1,324017362,38024,8521.4,7968.0,3072,30881,2414.4,"lowerboundset_kernel(int, double *, double)"
0.0,174676201,800,218345.3,217986.0,212067,230083,2684.9,"surf_MassPAng_kernel(int, int, int, int, int, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, double *)"
0.0,125554391,9600,13078.6,13056.0,11776,14976,387.0,"sommerfeld_routbam_kernel(int, int, int, const double *, const double *, const double *, double, double, double, double, double, double, double *, const double *, double, double, double, double, int)"
0.0,73663348,6300,11692.6,10560.0,5056,24545,3500.8,"l2normhelper_kernel(const double *, int, int, int, int, int, int, int, int, int, double *)"
0.0,25048944,800,31311.2,31233.0,29440,38977,909.1,"admmass_bssn_kernel(int, int, int, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, double *, double *, double *, int)"
0.0,19556825,100,195568.3,195346.5,192578,200674,1425.4,"getnp4_kernel(int, int, int, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, double *, double *, int)"
0.0,13927994,1600,8705.0,8769.0,7104,9760,430.2,"scale_normals_kernel(int, double, const double *, const double *, const double *, double *, double *, double *)"
0.0,13669172,8000,1708.6,1536.0,1280,3008,517.5,"normalize_shellf_kernel(int, int, double *, const int *, int *)"
0.0,2096601,120,17471.7,18832.5,9216,27712,5548.1,"average_kernel(int, const double *, const double *, double *)"
